 Category, Question, Answer
AIRLINE TRAVEL,"In the seat pocket you'll find the catalog called 'Sky' this, with must-haves like a solar-powered patio umbrella",Mall
AIRLINE TRAVEL,"It can be a place to leave your puppy when you take a trip, or a carrier for him that fits under an airplane seat",a kennel
AIRLINE TRAVEL,"When it began on Pan Am & Qantas in the late '70s, it was basically a roped-off part of the economy cabin with free drinks",business class
ALASKA,"4 different species of bears live in Alaska:  Kodiak, grizzly, black & this",Polar bears
ALASKA,One of the 3 mottos that have been featured on regular Alaskan license plates,"The Last Frontier', 'The Great Land', or 'North to the Future'"
ALASKA,The mainland peninsula closest to Russia is named for this man,William Seward
ALASKA,This second-largest Alaskan city wasn't named for an actor,Fairbanks
ALASKA,"Tony Knowles is pulling in $81,648 per annum in this job",Governor
ALBUMS THAT ROCK,Which band created the album titled  'American Idiot' and 'Dookie',Green Day
ALBUMS THAT ROCK,Which band created the album titled 'Beggars Banquet' and 'Steel Wheels',the Rolling Stones
ALBUMS THAT ROCK,Which band created the album titled 'In Your Honor' and 'The Color and the Shape',Foo Fighters
ALBUMS THAT ROCK,Which band created the album titled 'Master of Puppets' and 'Death Magnetic',Metallica
ALBUMS THAT ROCK,Which band created the album titled 'X&Y' and 'Parachutes',Coldplay
AMERICAN AUTHORS,"During the War Of 1812, this 'Rip Van Winkle' author wrote biographies of Naval commanders",Washington Irving
AMERICAN AUTHORS,"He reviewed films & TV for the New Republic before his first book, 'Goodbye, Columbus', was published in 1959",Philip Roth
AMERICAN AUTHORS,He stood 5'3' & was the subject of movies that came out in 2005 & 2006,Truman Capote
AMERICAN AUTHORS,Her home Orchard House was the model for whre the March family lived in her most famous novel,Louisa May Alcott
AMERICAN AUTHORS,"In 1884 she moved to Red Cloud, Nebraska & later fictionalized it as the town of Hanover in 'O Pioneers!'",Willa Cather
AMERICAN AUTHORS,"Mark Twain said that this anti-slavery novelist, his next-door neighbor, liked to sneak up behind people and 'fetch a war-whoop that would jump that person out of his clothes'",Harriet Beecher Stowe
AMERICAN AUTHORS,"Susan & Benjamin Cheever, children of this short story master, are both authors as well",John Cheever
AMERICAN AUTHORS,"Under the name Laura Bancroft, he wrote about Twinkle & Chubbins in Nature Fairyland after taking us to Oz",L. Frank Baum
AMERICAN AUTHORS,"While he was in Spain in 1959, he wrote 'The Dangerous Summer', a story about rival bullfighters",Hemingway
AMERICAN AUTHORS,"William Rose Benet won a Pulitzer for 'The Dust Which Is God', & this brother won for 'John Brown's Body'",Stephen Vincent Benet
AMERICAN EXPLORERS,Co-commanders of the 1st U.S. expedition to explore from Mississippi to the west coast,Lewis & Clark
AMERICAN EXPLORERS,Edward Beale brought news of this 1848 discovery in California to the east coast,gold
AMERICAN EXPLORERS,Jedediah Smith was a mountain man & explorer employed in this industry,fur trading
AMERICAN EXPLORERS,Senator Thomas Hart Benton's son-in-law was this 'Pathfinder',John C. Frémont
AMERICAN EXPLORERS,"Stephen Long & Zebulon Pike have peaks named for them in this state, an area they said was uninhabitable",Colorado
AN E FOR AN I,A Hawaiian wreath becomes an area sheltered from wind,a lei & a lee
AN E FOR AN I,A 'landing' area is transformed into a serious throat infection,strep & strip
AN E FOR AN I,Gentle' becomes 'to blend',mild & meld
AN E FOR AN I,"One means 'severely tested'; the other, 'trapped on a branch'",tried & treed
AN E FOR AN I,To replenish' becomes 'to knock down',to fill & to fell
ANATOMY,"Humans have 33 vertebrae, 7 of them cervical, meaning they are in this part of the body",your neck
ANATOMY,"The human body has 3 types of these: skeletal, smooth & cardiac, a combination of skeletal & smooth",muscles
ANATOMY,The pons connects the 2 hemispheres of this part of the brain that regulates balance,the cerebellum
ANATOMY,The talus fits between the ends of these 2 bones forming the ankle joint,the tibia & fibula
ANATOMY,This cord that connects a fetus to the placenta contains 2 arteries & 1 vein,the umbillical cord
ANDY WARHOL,Andy's '15 minutes of fame' quote was once the motto of this magazine,Interview
ANDY WARHOL,Andy's loft on East 47th Street got this nickname from its former use & Andy's mass-production techniques,The Factory
ANDY WARHOL,"Because he had the same thing for lunch every day for 20 years, Andy Warhol painted these, beginning in 1962",Campbell's Soup cans
ANDY WARHOL,Warhol became the manager of this Lou Reed rock group in 1965 & produced their first album,Velvet Underground
ANDY WARHOL,"Warhol went against his Capitalist tendencies with his portrait of this man, seen here",Mao Tse-tung
ANGELS,ABBA sang about these & Curtis Lee sang about 'Pretty Little' these,Angel Eyes
ANGELS,"Group whose feast day is October 2, or a group founded in 1979 by Curtis Sliwa",Guardian Angels
ANGELS,In 1996 John Travolta spread his wings as this archangel,Michael
ANGELS,"In Book III of 'Paradise Lost', the angels play these, which are 'golden' & 'ever-tuned'",harps
ANGELS,"With an appropriate-sounding name, John Dye plays the angel of this on 'Touched By An Angel'",Angel of Death
ANIMAL COLLECTIVE,A crash is a group of these large horned mammals,rhinoceroses
ANIMAL COLLECTIVE,A flock of these black birds is called a murder,crows
ANIMAL COLLECTIVE,"It can be a pack of dogs, or a place to board them",a kennel
ANIMAL COLLECTIVE,"Like peas, whales & seals are in groups called these",pods
ANIMAL COLLECTIVE,Synonym for dignity that's the term for a group of lions,a pride
ANNUAL EVENTS,"Dog lovers look forward to the Westminster Kennel Club dog show, held each February in this city",New York City
ANNUAL EVENTS,"Monroe, near Snohomish in this state, is the site of the annual Evergreen State Fair",Washington
ANNUAL EVENTS,"The Pendleton Roundup, an annual rodeo, takes place in Pendleton in this northwestern state",Oregon
ANNUAL EVENTS,The Tanglewood Music Festival is a summer highlight in Lenox in this New England state,Massachusetts
ANNUAL EVENTS,This state's Days of '47 Festival honors the day Brigham Young reached the Salt Lake Valley in 1847,Utah
ARCHITECTS,"Charles Bulfinch, who contributed to the Capitol in Washington, D.C., designed this city's state house on Beacon Hill",Boston
ARCHITECTS,Dallas-Fort Worth Airport architect Gyo Obata helped design this Smithsonian museum,Air & Space Museum
ARCHITECTS,Louis Skidmore designed the secret atomic site that became this Tennessee town,Oak Ridge
ARCHITECTS,Minoru Yamasaki reached new heights with this New York City complex,World Trade Center
ARCHITECTS,William Pereira erected his Transamerica 'Pyramid' in this city,San Francisco
ART,You can't make a genuine tempera painting without breaking these,eggs
ART & ARTISTS,He painted 'Irises' & 'Pink Roses' as well as 'Sunflowers',Vincent Van Gogh
ART & ARTISTS,"He spent several summers painting pointillist seascapes including 'Le Bec Du Hoc, Grandcamp'",Georges Seurat
ART & ARTISTS,"His sculpture, 'The Age of Bronze', exhibited in 1877, was inspired by Michelangelo",Auguste Rodin
ART & ARTISTS,"This drip artist was born in Cody, Wyoming in 1912",Jackson Pollock
ART & ARTISTS,You can see this British sculptor's 'Reclining Mother and Child' at the Walker Art Center in Minneapolis,Henry Moore
AT THE KENNEDY CENTER,A 1994 festival honoring this country featured the Tjapukai Aboriginal Dance Company,Australia
AT THE KENNEDY CENTER,Can you hear me?  This rock opera by The Who was a big hit at the Kennedy Center in 1994,Tommy
AT THE KENNEDY CENTER,"Every December, the Kennedy Center invites the public to a free sing-along of this composer's 'Messiah'",G.F. Handel
AT THE KENNEDY CENTER,In 1995 Luigi Bonino starred in a ballet about this 'Little Tramp' of silent films,Charlie Chaplin
AT THE KENNEDY CENTER,This president's 1972 visit to China inspired an opera that played at the Kennedy Center in 1988,Richard Nixon
AT THE MALL,"Found 'just what I needed' at this 'City', an electronics store",Circuit City
AT THE MALL,SKX is the stock symbol for this manufacturer of sporty shoes,Skechers
AT THE MALL,The name of this clothing store for teens is French for 'airmail',Aéropostale
AT THE MALL,"This bookstore chain is named for its 'edgy' founders, brothers Tom & Louis",Borders
AT THE MALL,This 'Urban' store is the parent company of Anthropologie,Urban Outfitters
BE FRUITFUL & MULTIPLY,"2 x 1,035","2,070"
BE FRUITFUL & MULTIPLY,3 x 4 x 5 x 6,360
BE FRUITFUL & MULTIPLY,4 x 12,48
BE FRUITFUL & MULTIPLY,5 x 10 x 15,750
BE FRUITFUL & MULTIPLY,7 x 7 x 2,98
BEGINNING & END,"A porkchop plot, named for its shape, is used for planning space missions; the vertical & horizontal axes plot possible dates for these 2 flight events",takeoff & landing (or launch & arrival)
BEGINNING & END,From' this to this is an idiom meaning from the start of a meal (or something else) to the end,from soup to nuts
BEGINNING & END,In 2006 it began on July 1 in Strasbourg & ended on July 23 in Paris,the Tour de France
BEGINNING & END,"Like a door, a Broadway show does these 2 things",open & close
BEGINNING & END,These titles of the 2 paintings seen here represent the beginning & end of Jesus' life,The Nativity' & 'The Crucifixion'
BEST PICTURE OSCAR-WINNERS IN OTHER WORDS,1932: 'Magnificent Inn',Grand Hotel
BEST PICTURE OSCAR-WINNERS IN OTHER WORDS,1954: 'Dockside',On the Waterfront
BEST PICTURE OSCAR-WINNERS IN OTHER WORDS,1966: 'One Bloke Year-Round',A Man For All Seasons
BEST PICTURE OSCAR-WINNERS IN OTHER WORDS,1976: 'A Single Colorado Mountain',Rocky
BEST PICTURE OSCAR-WINNERS IN OTHER WORDS,1980: 'Regular Folks',Ordinary People
BRITISH FASHION,"Designer Vivienne Westwood ran a shop with Malcolm McLaren, who launched this Johnny Rotten band",The Sex Pistols
BRITISH FASHION,Katharine Hamnett created the '80s T-shirt telling us to 'choose' this,Life
BRITISH FASHION,Star designer John Galliano was born Juan Carlos Galliano in this British possession at the tip of Spain,Gibraltar
BRITISH NOVELS,This 1895 novel is subtitled 'An Invention',The Time Machine
BUSINESS & INDUSTRY,In 1811 this German family began its steel-making business by constructing a plant in Essen,Krupp
BUSINESS & INDUSTRY,In 1934 he plugged Bulova 'Lone Eagle' watches,Charles Lindbergh
BUSINESS & INDUSTRY,"In 1961 this firm introduced its Selectric typewriter, which used a spherical typing element",IBM
BUSINESS & INDUSTRY,"It has over 9,700 tax preparation offices worldwide",H&R Block
BUSINESS & INDUSTRY,Only Philip Morris & this Cincinnati-based firm have yearly ad expenditures exceeding $2 billion,Procter & Gamble
CALL OUT THE VOICE SQUAD,"Among my many 'Simpsons' voices are the subservient Smithers & this man who lives next door to Homer--Howdy, neighbor",Ned Flanders
CALL OUT THE VOICE SQUAD,He provided the voices of both Beavis & Butthead,Mike Judge
CALL OUT THE VOICE SQUAD,He voiced Puss In Boots in 'Shrek 2',Antonio Banderas
CALL OUT THE VOICE SQUAD,He was the voice of Mickey Mouse in 'Steamboat Willie',Walt Disney
CALL OUT THE VOICE SQUAD,The voice of Daffy Duck (for the first 50 years),Mel Blanc
CELEB STUFF,Her 1988 major label debut album was 'Y Kant Tori Read',Tori Amos
CELEB STUFF,"In a 1997 issue of 'George', he said his cousins Michael & Joseph were 'poster boys for bad behavior'","John F. Kennedy, Jr."
CELEB STUFF,"On March 2, 1977 he made his first 'Tonight Show' appearance; on May 25, 1992 he took over as host",Jay Leno
CELEB STUFF,"People Magazine called his 1997 solo album 'Destination Anywhere', 'Tres Bon'",Jon Bon Jovi
CELEB STUFF,Tea Leoni ran into this 'X-Files' star at the Golden Globes & soon they were newlyweds,David Duchovny
CELEBS,He auditioned for & won the part of Ron Weasley with a rap that he wrote,Rupert Grint
CELEBS,Her 18th birthday party was 'A Cinderella Story' with 300 guests & red velvet cake,Hilary Duff
CELEBS,"On Sept. 14, 2005 she gave birth to Sean Preston Federline",Britney Spears
CELEBS,The TV show 'Everybody Hates Chris' is based on the childhood of this comic,Chris Rock
CELEBS,You Stand Watching' this 'Shine On' singer,Ryan Cabrera
CINEMATIC DICTIONARY,"Garland Jeffreys sang of having star-studded 'dreams' of this size, like movie film",35mm
CINEMATIC DICTIONARY,"Near the end of the credits comes the 'cutter' of this, the exposed but unfinished film",Negative cutter
CINEMATIC DICTIONARY,"SFX is the standard abbreviation for these, from the rustling of trees to cannon fire",Sound effects
CINEMATIC DICTIONARY,"Term for the flow of a film, maintained by keeping details consistent throughout a scene",Continuity
CINEMATIC DICTIONARY,The inventors of this camera-stabilizing device won a special 1977 Oscar,Steadicam
COMMON BONDS,"Bobby, bowling,  rolling",pins
COMMON BONDS,"Door, Nobel, booby",prizes
COMMON BONDS,"Hollywood, salad, Super",bowls
COMMON BONDS,"Inner tubes, doughnuts, the ozone layer",things with holes
COMMON BONDS,"Peeling onions, watching Mel Gibson's film 'Forever Young', missing Final Jeopardy!",things that make you cry
DEFENESTRATION IN CINEMA,"Giving the devil his due, Fr. Karras invites the devil inside himself, then exits from the second floor in this 1973 movie",The Exorcist
DEFENESTRATION IN CINEMA,"In this Bruce Willis movie, the villain goes out the window of the Nakatomi building, gun in hand",Die Hard
DEFENESTRATION IN CINEMA,"In this Coen Brothers movie, Charles Durning jumps out a window during a board meeting",The Hudsucker Proxy
DEFENESTRATION IN CINEMA,"Movie in which Axel Foley asks, 'where ...you get off arresting me for being thrown out a window?'",Beverly Hills Cop
DOWN MEXICO WAY,"Founded in the 1530s, this capital of Jalisco state is the second-largest in Mexico",Guadalajara
DOWN MEXICO WAY,In 1986 Mexico scored as the first country to host this international sports competition twice,the World Cup
DOWN MEXICO WAY,This gritty 1961 Tennessee Williams play unfolds in a seedy Mexican hotel,Night of the Iguana
DOWN MEXICO WAY,This popular resort island lies north of Cozumel off the coast of the state of Quintana Roo,Cancun
DOWN MEXICO WAY,This resort city about 200 miles southwest of Mexico City is famous for its cliff divers,Acapulco
DR. SEUSS AT THE MULTIPLEX,"500 Hats'... 500 ways to die.  On July 4th, this young boy will defy a king... & become a legend",Bartholomew Cubbins
DR. SEUSS AT THE MULTIPLEX,"Beyond ovoid abandonment, beyond ovoid betrayal... you won't believe the ending when he 'Hatches the Egg'",Horton
DR. SEUSS AT THE MULTIPLEX,"Ripped from today's headlines, he was a turtle king gone mad; Mack was the one good turtle who'd bring him down",Yertle
DR. SEUSS AT THE MULTIPLEX,"Somewhere between truth & fiction lies Marco's reality... on Halloween, you won't believe you saw it on this St.",Mulberry Street
DRAMA QUEENS,"A 1952 play covered the young life of this queen, like a 1998 Cate Blanchett film",Elizabeth I
DRAMA QUEENS,In 1935 & '36 Helen Hayes reigned for 517 Broadway performances as this queen who reigned for 63 years,Victoria
DRAMA QUEENS,"In a Shaw play, Caesar finds her hiding on a Sphinx",Cleopatra
DRAMA QUEENS,"In Euripides' play about this famed beauty, it's her double who goes to Troy",Helen
DRAMA QUEENS,"The queen in Marlowe's 'Edward II' is named this, like a famous queen of Spain",Isabella
EARLY AMERICA,"In 1562, in what is now S.C., these French Protestants established a colony named Port Royal",the Huguenots
EARLY AMERICA,"In 1685 he joined his father in pastorship of the Old North Church, a post he held until his death",Cotton Mather
EARLY AMERICA,In 1718 this Texas town was founded by Martin de Alarcon & Father Olivares & named for St. Anthony of Padua,San Antonio
EARLY AMERICA,"In defending British soldiers on trial for this 1770 event, John Adams said, 'Facts are stubborn things'",the Boston Massacre
EARLY AMERICA,"In 'Of Plymouth Plantation', he wrote that there was so much disease 'the living were scarce able to bury the dead'",William Bradford
EPITAPHS & TRIBUTES,"1939 Oscar winner: '...you are a credit to your craft, your race and to your family'",Hattie McDaniel (for her role in Gone with the Wind)
EPITAPHS & TRIBUTES,And away we go',Jackie Gleason
EPITAPHS & TRIBUTES,Outlaw: 'Murdered by a traitor and a coward whose name is not worthy to appear here',Jesse James
EPITAPHS & TRIBUTES,Revolutionary War hero: 'His spirit is in Vermont now',Ethan Allen
EPITAPHS & TRIBUTES,"Signer of the Dec. of Indep., framer of the Constitution of Mass., second President of the United States",John Adams
ESPN's TOP 10 ALL-TIME ATHLETES,"Lettered in hoops, football & lacrosse at Syracuse & if you think he couldn't act, ask his 11 'unclean' buddies",Jim Brown
ESPN's TOP 10 ALL-TIME ATHLETES,FB/LB for Columbia U. in the 1920s; MVP for the Yankees in '27 & '36; 'Gibraltar in Cleats',(Lou) Gehrig
ESPN's TOP 10 ALL-TIME ATHLETES,"1912 Olympian; football star at Carlisle Indian School; 6 MLB seasons with the Reds, Giants & Braves",Jim Thorpe
ESPN's TOP 10 ALL-TIME ATHLETES,Only center to lead the NBA in assists; track scholarship to Kansas U.; marathoner; volleyballer,(Wilt) Chamberlain
ESPN's TOP 10 ALL-TIME ATHLETES,"30 steals for the Birmingham Barons; 2,306 steals for the Bulls",Michael Jordan
EUROPEAN HISTORY,"He filed for divorce citing Leviticus 20:21, 'If a man shall take his brother's wife, it is an unclean thing'",Henry VIII
EVERYBODY TALKS ABOUT IT...,"Africa's lowest temperature was 11 degrees below zero in 1935 at Ifrane, just south of Fez in this country",Morocco
EVERYBODY TALKS ABOUT IT...,"In the winter of 1971-72, a record 1,122 inches of snow fell at Rainier Paradise Ranger Station in this state",Washington
EVERYBODY TALKS ABOUT IT...,"On June 28, 1994 the nat'l weather service began issuing this index that rates the intensity of the sun's radiation",the UV index
EVERYBODY TALKS ABOUT IT...,"The city of Yuma in this state has a record average of 4,055 hours of sunshine each year",Arizona
FAMOUS SHIPS,"On December 27, 1831 it departed Plymouth, England to map the coastline of South America",the HMS Beagle
FLAG 'EM DOWN,"The 2 colors found on all 3 national flags of the U.S., Mexico & Canada",red & white
FLAG 'EM DOWN,The Alamo is located in this city & is depicted on its flag,San Antonio
FLAG 'EM DOWN,The first 50-star U.S. flag was officially raised on July 4 of this year,1960
FLAG 'EM DOWN,The flag of this U.S. possession is almost the same as the flag of Cuba,Puerto Rico
FLAG 'EM DOWN,This descriptive nickname of the U.S. flag was coined by Francis Scott Key,the Star-Spangled Banner
FLAGS OF THE WORLD,Andy Garcia is a native of this country whose flag is seen here,Cuba
FLAGS OF THE WORLD,"In the 1990s, this nation whose flag is seen here moved its seat of government to a different city",Germany
FLAGS OF THE WORLD,"In use from 1844 to 1905, a flag representing the union of these 2 countries was nicknamed the 'herring salad'",Norway and Sweden
FLAGS OF THE WORLD,It's the kingdom whose flag is seen here (Union Jack),Great Britain/England
FLAGS OF THE WORLD,Seen here is the flag of this nation (the home of Bollywood),India
FLAGS OF THE WORLD,This Mediterranean country whose flag is seen here is 'The Word',Greece
FOREWORDS,"Conrad begins (and ends) Marlow's journey... on the Thames, on the yawl, Nellie', says the foreword to this novel",Heart of Darkness
FOREWORDS,One edition calls this Darwin opus one of 'the most readable and approachable' of revolutionary scientific works,The Origin of Species
FOREWORDS,"Part 2 'is Lilliput in reverse, but...also offers some of' his 'fiercest assaults upon the behavior of' his countrymen",Jonathan Swift
FOREWORDS,She said that her husband Frank O'Connor was the fuel that kept her spirited while she wrote 'The Fountainhead',Ayn Rand
FROM THE GREEK,"A bowl-shaped depression, as from the impact of a meteorite, it's from the Greek for 'mixing bowl'",crater
FROM THE GREEK,"From the Greek for 'false name', it's a fictitious name used by an author",a pseudonym
FROM THE GREEK,It's an outline of the contents of a course or curriculum,a syllabus
FROM THE GREEK,Kayak is an example of this type of reversible word from the Greek for 'running back again',a palindrome
FROM THE GREEK,The name of this color comes from the Greek word porphyra,purple
GENERAL SCIENCE,"On the pH scale, a pH of 7 indicates this type of solution",Neutral
GENERAL SCIENCE,"The 'super' class of these stars, the largest known, includes Antares & Betelgeuse",Red giants
GENERAL SCIENCE,The time it takes for 50% of the atoms to decay in a radioactive substance is called this,Half-life
GENERAL SCIENCE,"This white, glossy coating on your teeth is the hardest substance in the human body",Enamel
GENERAL SCIENCE,"While compounds of this element are added to table salt, in its pure form it's quite poisonous",Iodine
GEOGRAPHY 'E',It's the largest kingdom in the United Kingdom,England
GEOGRAPHY 'E',Parts of the Arabian and Libyan deserts are found in this African country,Egypt
GEOGRAPHY 'E',The family history you wrote for school might include entering the U.S. at this island in New York Bay,Ellis Island
GEOGRAPHY 'E',"This island in the South Pacific is named for the day of its discovery, a religious holiday",Easter Island
GEOGRAPHY 'E',"We're here in the Galapagos Islands at zero degrees latitude, which means we're right above this imaginary line that goes all the way around the Earth",the equator
GETTING POSSESSIVE,"At 14,140 feet, this Rocky Mountain peak discovered in 1806 is one of Colorado's highest",Pike's Peak
GETTING POSSESSIVE,"In Exodus, this was thrown down before Pharaoh at Moses' instruction",Aaron's rod (turned into a snake)
GETTING POSSESSIVE,"This bovine took the rap for the disastrous fire of October 8, 1871",Mrs. O'Leary's cow
GETTING POSSESSIVE,"While one creation slept, God took this to make Eve",Adam's rib
GETTING POSSESSIVE,You'll find this triangular island about 4 miles off the southeast coast of Massachusetts,Martha's Vineyard
HIGH' SCHOOL,"Chuck Taylor, from whom Converse named a line of these shoes, was a basketball star of the 1910s",high-tops
HISTORIC WOMEN,"She was born in Virginia around 1596 & died in Kent, England in 1617",Pocahontas
HISTORY,"Built in 312 B.C. to link Rome & the South of Italy, it's still in use today",the Appian Way
HISTORY,"For the last 8 years of his life, Galileo was under house arrest for espousing this man's theory",Copernicus
HISTORY,Historians refer to the Golden Age as the time during which Pericles ruled this city,Athens
HISTORY,In 1000 Rajaraja I of the Cholas battled to take this Indian Ocean island now known for its tea,Ceylon (or Sri Lanka)
HISTORY,In February 1904 this country attacked the Russian fleet at Port Arthur,Japan
HISTORY,"In the midst of the Korean War, this South Korean president was elected to his second of 4 terms",Syngman Rhee
HISTORY,Karl led the first of these Marxist organizational efforts; the second one began in 1889,the International
HISTORY,"On May 30, 1967 Colonel Ojukwu declared Biafra's independence from this country, starting a civil war",Nigeria
HISTORY,This Asian political party was founded in 1885 with 'Indian National' as part of its name,the Congress Party
HISTORY,"Under the 1814 Treaty of Kiel, this country gave Norway to Sweden but kept Greenland & other islands",Denmark
HOMOPHONIC PAIRS,A complete donut center,whole hole
HOMOPHONIC PAIRS,A squash that's been pierced by a bull's horn,gored gourd
HOMOPHONIC PAIRS,Contented performing kittens might be paid this way,per purr
HOMOPHONIC PAIRS,"In a restaurant, it's a quartet's table request",for four
HOMOPHONIC PAIRS,Remained sedate,stayed staid
I' LADS,"Czar at 17, he was famous for extraordinary sadism & cruelty, even as a boy",Ivan the Terrible
I' LADS,His is the first & longest book of the Bible's major prophets,Isaiah
I' LADS,"Nudge, nudge, wink, wink!  This man seen here starred on a classic British comedy show",Eric Idle
I' LADS,This auto exec's autobiography is one of the bestselling nonfiction works in publishing history,Lee Iacocca
I' LADS,This punk rock hitmaker heard here has had numerous hits on both sides of the Atlantic,Billy Idol
I'D RATHER BE SKIING,"Bumps or mounds of snow that accumulate on a slope are called these, like some very wealthy & powerful people",moguls
I'D RATHER BE SKIING,"If you're a beginner, you might hippity-hop over to this smaller, gentler slope",a bunny hill
I'D RATHER BE SKIING,"In California, a premier spot for skiing is this resort area that shares its name with a prehistoric elephant",Mammoth
I'D RATHER BE SKIING,In this type of race you have to zigzag between flags or other obstacles in proper order,a slalom
I'D RATHER BE SKIING,"Something you'd sprinkle on after a shower, it's also the term for soft, dry, freshly fallen snow",powder
IN EXILE,David Ben-Gurion went to the U.S. in 1915 when this empire exiled Zionists from Palestine,Ottoman Empire
IN EXILE,"Exiled for manslaughter, Eric the Red was forced to leave this country around 981",Iceland
IN EXILE,In 1462 this printer known for movable type had to move out of Mainz,Johannes Gutenberg
IN EXILE,Moshoeshoe II was exiled twice before regaining this southern African country's throne in 1995,Lesotho
IN EXILE,"Porfirio Diaz seized power in this country in 1876, ruled for 35 years, fled in 1911 & died in exile",Mexico
IN THE DICTIONARY,"As an adjective, it can mean proper; as a verb, 'to grade papers'",correct
IN THE DICTIONARY,It's the 4-letter name of the pleated skirt worn by men in Scotland,a kilt
IN THE DICTIONARY,"Kayak is an example of this, a word that reads the same forwards & backwards",a palindrome
IN THE DICTIONARY,Maize is another word for this,corn
IN THE DICTIONARY,This word for someone who walks comes from the Latin for 'foot',pedestrian
INTERNATIONAL SPORTSMEN,New Zealand-born Jonah Lamu is tops on the pitch of this sport,Rugby
INTERNATIONAL SPORTSMEN,Nike's stock fell when this basketball player announced his retirement in January 1999,Michael Jordan
INTERNATIONAL SPORTSMEN,Ronaldo Luiz Nazario de Lima began playing this sport for Brazil's national team at age 17,Soccer
INTERNATIONAL SPORTSMEN,"The Times of London estimates this chess player is taking home $20 mil. a year; that's some check, mate!",Garry Kasparov
INTERNATIONAL SPORTSMEN,Vladimir Samsonov is touted as Europe's only hope against China in this game,Ping-pong
IT'S OURS!,Cook Islands,New Zealand
IT'S OURS!,Madeira Islands,Portugal
IT'S OURS!,Montserrat,Great Britain
IT'S OURS!,Northern Mariana Islands,USA
IT'S OURS!,Saint-Pierre & Miquelon,France
JUST THE FACTS,He's the older son of Prince Charles and the late Princess Diana,Prince William
JUST THE FACTS,"In 1751 the Penn Provincial Assembly placed the order for this symbol of freedom, now in Philadelphia",the Liberty Bell
JUST THE FACTS,"This city, the seat of Clark County, Nevada, has been called 'the entertainment capital of the world'",Las Vegas
JUST THE FACTS,This dog breed seen here is a loyal and protective companion,a German Shepherd
JUST THE FACTS,This hero of several books is 11 when he discovers he's a wizard,Harry Potter
KIDS IN SPORTS,11-year-old Ashlyn White won a 2009 U.S. youth title in this martial art in which you try to throw your opponent,judo
KIDS IN SPORTS,"Park View of Chula Vista, California beat Taipei 6-3 to win this organization's 2009 World Series",the Little League
KIDS IN SPORTS,The perfect waves of New Zealand's Piha Beach were the site for the 2010 World Junior Championships of this,surfing
